address,case_family_count,case_track_count,component_rows,epochs_present,exact_address_epoch_overlap_keys,status_groups,case_tracks,P3-CAND-01_gonka,P3-CAND-02_gonka,P3-CAND-03_gonka,P3-CAND-04_gonka,P4-CAND-01_gonka,total_gonka_if_naively_summed
gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es,1,1,1,266,0,pending_estimate,P4-e266-nonce,,,,,279.015575378,279.015575378
gonka1pks9m29wqac2kxdj8v8acq58rjshh6u8y2a772,1,1,1,116,0,local_validated_recommended,P3-CAND-02,,243.541684885,,,,243.541684885
gonka1q3n37e2uc4npkheyjllx2ztx5yh42rk6vz3kgn,1,1,1,116,0,local_validated_recommended,P3-CAND-02,,27.431059448,,,,27.431059448
gonka1qx3znmtpxqgmz3t4tgpdk68dsfxuccn6cxnp8s,1,1,1,116,0,local_validated_recommended,P3-CAND-02,,25.489037540,,,,25.489037540
gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,1,1,1,276,0,pending_estimate_revalidation_required,P3-CAND-04,,,,2.914485531,,2.914485531
gonka1t88kkvnrayz5l2u043tccd2pks4rt8y346z9dv,1,1,1,116,0,local_validated_recommended,P3-CAND-02,,4.551613846,,,,4.551613846
gonka1t8jjpaq2m0svru73kh9l0m62e7lr7qxxw6uvea,1,1,1,129,0,local_validated_recommended,P3-CAND-02,,7.470360710,,,,7.470360710
gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,1,1,1,266,0,pending_estimate,P4-e266-delegation,,,,,1805.142497891,1805.142497891
gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws,1,1,1,267,0,disputed_not_aggregate,P4-GroupCap-source,,,,,2731.396085272,2731.396085272
gonka1tmk2tzdneht6smu34pkmqdvu7p34qavvmwtwq2,1,1,1,266,0,pending_estimate,P4-e266-delegation,,,,,100.568940182,100.568940182
gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,1,1,1,276,0,pending_estimate_revalidation_required,P3-CAND-04,,,,246.274027398,,246.274027398
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,1,1,7,"270,271,272,273,274,275,276",0,disputed_not_aggregate,P4-GroupCap-source,,,,,96601.320933414,96601.320933414
gonka1wvv656pt2d8x2khcvytqeessck5uzjnxzsa8f6,1,1,3,"269,270,271",0,disputed_not_aggregate,P4-GroupCap-source,,,,,5511.598438612,5511.598438612
gonka1xy9py6zlxsum2m0z422qwa0um6au7ls4r65ky8,1,1,1,116,0,local_validated_recommended,P3-CAND-02,,32.043361480,,,,32.043361480
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,1,1,1,267,0,disputed_not_aggregate,P4-GroupCap-source,,,,,1025.259358283,1025.259358283
